@2022-02-23 Wednesday 14:51:57 [logger.py -- write]68 : INFO - epoch: 19, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000112, validate_avg_loss: 0.924080, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 14:56:47 [logger.py -- write]68 : INFO - epoch: 20, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000126, validate_avg_loss: 0.877520, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 15:01:36 [logger.py -- write]68 : INFO - epoch: 21, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000107, validate_avg_loss: 0.923185, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 15:06:27 [logger.py -- write]68 : INFO - epoch: 22, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000089, validate_avg_loss: 0.942541, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 15:11:17 [logger.py -- write]68 : INFO - epoch: 23, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000085, validate_avg_loss: 0.967677, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 15:16:08 [logger.py -- write]68 : INFO - epoch: 24, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000071, validate_avg_loss: 0.887992, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 15:20:53 [logger.py -- write]68 : INFO - epoch: 25, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000074, validate_avg_loss: 0.905063, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 15:25:43 [logger.py -- write]68 : INFO - epoch: 26, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000070, validate_avg_loss: 0.924089, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 15:30:31 [logger.py -- write]68 : INFO - epoch: 27, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000062, validate_avg_loss: 0.943422, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 15:35:19 [logger.py -- write]68 : INFO - epoch: 28, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000050, validate_avg_loss: 0.978047, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 15:40:01 [logger.py -- write]68 : INFO - epoch: 29, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000083, validate_avg_loss: 0.972723, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 15:44:52 [logger.py -- write]68 : INFO - epoch: 30, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000051, validate_avg_loss: 0.987385, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
